mol_id	name	n_atoms	formula	smiles
103927616_23		26	C9H9NO6S	CO[C@H]1C(=O)N2C3=C(COC3=O)CS(=O)(=O)C12
103933157_3		14	C2H8NO2P	CC(N)P(O)O
103945374_15		45	C14H23N5O3	CCCCCCC(C(C)O)[N+]1([O-])C([O-])=[NH+]c2c(N)ncnc21
103954262_43		26	C6H16ClN3	[NH2+]=C(CCl)NCCCC[NH3+]
104006668_24		8	C2HF3N2	N#[N+][CH-]C(F)(F)F
104020039_7		36	C14H16N2O2S2	CSc1sc(-c2nc(C)no2)c2c1C(=O)CC(C)(C)C2
104026166_0		38	C8H21NO6P2	CCCCCC(C)/N=C(/P(=O)(O)O)[PH](O)(O)O
104033881_22		41	C17H14N8O2	Cc1cc(-c2nnc3c4ccccc4c(OCc4cnn(C)n4)nn23)no1
104040973_10		3	CNS	[N-]=C=S
104095320_9		38	C13H21N2O2	C[N+]1(CC#CCOC2=NOCC2)CCCCC1
104120669_41		4	CS3	S=C([S-])[S-]
104135653_27		44	C12H27N5	CC(C)=CCN/C(N)=N/CCCNCCCN
104137141_20		29	C10H8N8S3	Cc1nnc2sc(Cc3[nH]nc4[nH]c(=S)[nH]c(=S)c34)nn12
104158814_34		22	C9H8Cl2O2S	Cc1c(CC(=O)Cl)csc1C(=O)CCl
11108294_8		34	C12H16IN5	C=CCN(C)c1nc(I)nc2c1ncn2C(C)C
117644029_31		25	C9H10N5S	Nc1sc2c(c1-c1nn[n-]n1)CCCC2
125083531_47		33	C15H15NO2	c1ccc(Oc2ccccc2OC2CNC2)cc1
131344834_41		46	C10H15Cl2N2O13P3S	O=c1[nH]c(=S)ccn1[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)C(Cl)(Cl)P(=O)(O)O)[C@@H](O)[C@H]1O
134981966_43		33	C9H16N8	CCNc1nc(N=[N+]=[N-])nc(NC(C)(C)C)n1
134982891_49		13	C5HCl3N4	Clc1nc(Cl)c2[nH]c(Cl)nc2n1
134994385_5		18	C6Br9N3	BrC(Br)(Br)c1nc(C(Br)(Br)Br)nc(C(Br)(Br)Br)n1
135000306_24		33	C10H19N3O	CC(C)N(C(C)C)C(C)c1nnco1
135012195_15		34	C12H18INO2	OC/C(=N\O)C12CC3CC(CC(I)(C3)C1)C2
135017029_6		4	Cl3N	ClN(Cl)Cl
135020045_14		6	Br5P	BrP(Br)(Br)(Br)Br
135022613_42		22	C6H9O6P	C1C2CC3CC1OP1(OOO1)(O2)O3
135023079_20		23	C5H9N3O4S2	O=S1(=O)C2CN3CN1CN(C2)S3(=O)=O
135028859_15		15	C8I4O3	O=C1OC(=O)c2c(I)c(I)c(I)c(I)c21
135031159_35		28	C7H15O5P	COP1(OC)(OC)OC(C)=C(C)O1
135032448_28		12	C6Br4O2	O=C1C(=O)C(Br)=C(Br)C(Br)=C1Br
135034102_21		16	C2H8N6	N=C(NN)C(=N)NN
135035206_15		11	C6N4O	N#CC1(C#N)OC1(C#N)C#N
135036379_40		38	C18Cl15O4P	O=P(Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)(Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
135037324_18		18	C4H6N8	Nc1nc(N)n2c(N)nnc2n1
135041714_42		11	C4F6O	FC(F)=C(F)OC(F)=C(F)F
135041750_5		31	C9H16N2O2S2	S=C(SN1CCOCC1)N1CCOCC1
135041973_29		10	C2Br6OS	O=S(C(Br)(Br)Br)C(Br)(Br)Br
135049313_24		41	C15H16F5NO2S2	CSC(=O)c1c(C(F)F)nc(C(F)(F)F)c(C(=O)SC)c1CC(C)C
135053280_2		18	C10Cl8	ClC1=C(Cl)C(=C2C(Cl)=C(Cl)C(Cl)=C2Cl)C(Cl)=C1Cl
135056525_8		31	C10H19NS	CCC1=NC(CC)(CC)SC1C
135062452_3		16	C8Cl7N	ClC1=NC(Cl)(Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c21
135064618_26		30	C8F16O5S	O=C(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)S(=O)(=O)F)C(F)(F)F)C(F)(F)F
135064733_41		44	C22H18NO3	CC1=C(C)C2(C3=CC(=O)C=CC3=Nc3ccc([O-])cc32)C(C)=C(C)C1=O
135064751_35		43	C14F28O	FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)OC(F)(F)C(F)(F)C(F)(F)C1(F)F
135065163_29		24	C8H4Cl5NO4S2	Nc1cc(C(Cl)=C(Cl)Cl)c(S(=O)(=O)Cl)cc1S(=O)(=O)Cl
135065494_38		48	C10H17N7O12S2	N=C1N(O)[C@@H](COC(=O)NS(=O)(=O)O)[C@@H]2N=C(N)N[C@]23N1C[C@H](OS(=O)(=O)O)C3(O)O
135078287_49		26	C7H13O4PS	C#CCSP(=O)(OC)OCCOC
135078969_46		27	C9F18	FC(F)(F)C(=C(C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F
135081216_47		23	C13H6I2N2	[N-]=[N+]=C1c2cc(I)ccc2-c2ccc(I)cc21
135081597_19		22	C11H5Cl3O3	C/C(C#CC1=C(Cl)C(=O)C(O)=C(Cl)C1=O)=C\Cl
135082059_10		50	C15H26N2O7	CN[C@H]1[C@@H](O)[C@@H](NC)[C@H](O)[C@H]2O[C@@H]3O[C@H](C)C=C(OC)[C@]3(O)O[C@H]12
135082631_8		44	C15H20Cl3NO5	COc1[nH]c(=O)c(C(=O)C(C)CC(C)C(Cl)(Cl)CCl)c(O)c1OC
135083936_6		35	C13H18O3S	Cc1c(C)c2c(c(C)c1O)SC(CCCO)O2
135084158_29		32	C15H11O6	Oc1cc(O)c2cc(O)c(-c3ccc(O)c(O)c3)[o+]c2c1
135086704_35		14	C3H6N2OS2	O=NN1CSCSC1
135088214_17		31	C9H11N3O7S	O=C(O)[C@H]1OC(O/N=C/c2cnns2)[C@H](O)[C@@H](O)[C@@H]1O
135090364_16		44	C14H23NO5S	COC(=O)[C@H](CSC1CCCCC1OC(C)=O)NC(C)=O
135090875_43		10	C2H4ClNO2	O=[N+]([O-])CCCl
135091854_17		10	C5N2OS2	N#Cc1sc(=O)sc1C#N
135092696_28		8	C4H3N	C=C=CC#N
135092963_34		25	C12F10N2O	[O-]/[N+](=N\c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F
135093102_44		5	CH2P2	P=C=P
135093116_28		10	F3NO4S2	O=S(=O)(F)N(F)S(=O)(=O)F
135093564_47		4	F2N2	F/N=N\F
135093970_23		7	N2O2S3	O=S=NSN=S=O
135094180_48		6	O4P2	O=POP(=O)=O
135094313_1		18	C2H6F6N2P2	CN1P(F)(F)(F)N(C)P1(F)(F)F
135096784_14		18	C2F11N5	FN(F)C(F)(F)N(F)C(N(F)F)(N(F)F)N(F)F
135096883_21		17	C8H4Br2S3	Brc1cscc1Sc1cscc1Br
135097267_46		26	C10F12S4	FC(F)(F)C1=C(C(F)(F)F)SC(=C2SC(C(F)(F)F)=C(C(F)(F)F)S2)S1
135097481_25		8	N4S4	N1=S=NSN=S=NS1
135097867_33		10	C6H2Cl2	Clc1c#ccc(Cl)c1
135098645_49		7	S7	s1ssssss1
135098805_14		14	O10P4	O=P12OP3(=O)OP(=O)(O1)OP(=O)(O2)O3
135098930_22		18	C8H10	C1#CCCCC/C=C\1
135099623_48		15	C6N6O3	N#Cc1noc(-c2no[n+]([O-])c2C#N)n1
135099680_43		4	ClPS2	S=P(=S)Cl
135099703_10		27	C15H12	C(=C1C2C3C2C2C1C32)=C1C2C3C2C2C1C32
135100155_12		32	C16F16	FC1(F)C2=C(C3=C(C4=C(C5=C2C(F)(F)C5(F)F)C(F)(F)C4(F)F)C(F)(F)C3(F)F)C1(F)F
135100218_5		13	CF3N3O2S4	O=S(=O)(/N=S1/N=S=NS1)C(F)(F)F
135100536_21		28	C8H18NP	CC(C)(C)/N=P/C(C)(C)C
135100616_13		16	C8F6N2	Fc1nc(F)c2c(F)nc(F)c(F)c2c1F
135100706_2		4	CBrNO	[O-][N+]#CBr
135100785_32		6	C4I2	IC#CC#CI
135101309_28		10	F6HNP2	FP(F)NP(F)(F)(F)F
135101395_42		13	C4H5Br2NS	S=C=NCC(Br)CBr
135101456_13		44	C20H24	CC1(C)C#CC(C)(C)C#CC(C)(C)C#CC(C)(C)C#C1
135101733_22		12	C4H4F2NP	FP(F)n1cccc1
135101997_27		3	CClP	P#CCl
135102860_2		15	C7H8	C#CC1(C=C)CC1
135103274_38		18	C8H8OS	C1#CCSCC#CCOC1
135103415_32		35	C11H12F9N3	FC(F)(F)n1n2n1C(C(F)(F)F)(C(F)(F)F)CC21CCCCC1
135103847_6		39	C13H24N2	Cc1c(C(C)(C)C)nn(C)c1C(C)(C)C
135104291_21		39	C15H24	CC(C)(C)C#CC(C)(C)C#CC(C)(C)C
135104992_20		42	C14H18Cl3N5O2	CC1(C)N=C(N)N=C(N)N1OCCCOc1cc(Cl)c(Cl)cc1Cl
135105999_29		39	C17H22	C=CCCCCCC=CCC#CC#CC=CC
135109114_13		21	C12Br6Cl2O	Clc1c(Br)c(Br)c2oc3c(Br)c(Br)c(Br)c(Br)c3c2c1Cl
135112115_49		16	C5H8N2O	[C-]#[N+]CC(=O)N(C)C
135113032_6		28	C7H16NO2PS	COP1(=S)NC(CC(C)C)CO1
135115807_0		5	CH2N2	N=C=N
135116330_19		40	C20H16N4	c1ccc([N-]c2nn(-c3ccccc3)c[n+]2-c2ccccc2)cc1
135118267_25		37	C15H14N5O3	COc1cc(/N=N/c2ccc(C)cc2[N+](=O)[O-])c(C)cc1[N+]#N
135120332_35		5	H2O3	OOO
